Nombre,Marca,Tipo,Estatus,Categoria,Direccion,Lat,Long
Zona Esmeralda,Dark kitchen,dark kitchen,operando,red_actual,,19.55378,-99.21143
Satelite,Dark kitchen,dark kitchen,operando,red_actual,,19.50631,-99.25911
Azcapotzalco,Dark kitchen,dark kitchen,operando,red_actual,Calz. de las Armas 315 San Pedro Xalpa Azcapotzalco,19.48594,-99.21732
Linda Vista,Dark kitchen,dark kitchen,operando,red_actual,,19.49146,-99.15311
Polanco,Dark kitchen,dark kitchen,operando,red_actual,,19.44627,-99.20338
Doctores,Dark kitchen,dark kitchen,operando,red_actual,,19.42032,-99.14664
Del Valle,Dark kitchen,dark kitchen,operando,red_actual,Miguel Angel 27 Mixcoac Benito Juarez,19.37385,-99.18900
Santa Fe,Dark kitchen,dark kitchen,operando,red_actual,,19.37997,-99.25004
San Angel,Dark kitchen,dark kitchen,operando,red_actual,,19.34722,-99.19045
Churubusco,Dark kitchen,dark kitchen,operando,red_actual,Sur 69-B 101 El Prado Iztapalapa,19.35908,-99.13638
Iztapalapa,Dark kitchen,dark kitchen,operando,red_actual,,19.34735,-99.07584
Coapa,Dark kitchen,dark kitchen,operando,red_actual,,19.30535,-99.12709
Pedregal,Dark kitchen,dark kitchen,operando,red_actual,Av. Insurgentes Sur 3655 Miguel Hidalgo Tlalpan,19.29460,-99.18309
Samara,Avocalia,storefront,operando,red_actual,Antonio Dovali Jaime 70 Santa Fe Alvaro Obregon,19.36745,-99.25923
Amsterdam 309,Avocalia,storefront,en obra,red_actual,Amsterdam 309 Condesa,19.41444,-99.16638
Londres,Avocalia,storefront,en obra,red_actual,Av. Insurgentes Sur 85 Juarez,19.42627,-99.16203
Centtral Interlomas,Green House,storefront,operando,red_actual,,19.39272,-99.28085
Manacar,Green House,storefront,operando,red_actual,Av. Insurgentes Sur 1457 Benito Juarez,19.36845,-99.18106
Narvarte,Green House,storefront,en obra,red_actual,Diagonal San Antonio 1230 Narvarte Poniente,19.39549,-99.15727
C. Colima 407,,,prospecto,prospecto,Colima 407 Roma Norte,19.41742,-99.17145
Corporativo Dos Patios,,,prospecto,prospecto,,19.43749,-99.18656
